iter	Passed	Remaining
0	1	147
1	2	133
2	4	136
3	5	124
4	6	125
5	8	126
6	9	125
7	10	123
8	12	121
9	13	120
10	14	119
11	16	117
12	17	119
13	19	119
14	20	117
15	22	115
16	23	114
17	24	112
18	26	111
19	27	110
20	28	108
21	30	106
22	31	106
23	33	105
24	34	103
25	35	102
26	37	100
27	38	99
28	39	97
29	41	96
30	42	95
31	44	93
32	45	92
33	47	91
34	48	90
35	49	88
36	51	87
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	59	78
43	61	77
44	62	76
45	64	75
46	65	73
47	66	72
48	68	71
49	69	69
50	71	68
51	72	66
52	73	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	81	56
59	83	55
60	84	54
61	85	52
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	95	44
68	96	43
69	98	42
70	99	40
71	101	39
72	103	38
73	105	37
74	107	35
75	109	34
76	111	33
77	113	32
78	116	30
79	118	29
80	120	28
81	122	26
82	124	25
83	126	24
84	127	22
85	130	21
86	131	19
87	133	18
88	134	16
89	136	15
90	138	13
91	139	12
92	141	10
93	143	9
94	144	7
95	146	6
96	147	4
97	149	3
98	150	1
99	152	0
