iter	Passed	Remaining
0	169	169236
1	170	85262
2	172	57461
3	176	43861
4	180	35849
5	182	30257
6	184	26123
7	185	22998
8	188	20709
9	191	18962
10	193	17417
11	195	16125
12	197	14959
13	198	14009
14	200	13180
15	202	12451
16	210	12157
17	212	11619
18	215	11118
19	220	10818
20	223	10429
21	227	10127
22	230	9782
23	231	9427
24	240	9370
25	243	9123
26	245	8830
27	246	8549
28	252	8459
29	256	8278
30	257	8045
31	258	7824
32	259	7618
33	265	7539
34	267	7373
35	270	7248
36	272	7092
37	273	6935
38	275	6793
39	278	6680
40	279	6537
41	280	6405
42	283	6300
43	292	6359
44	295	6268
45	297	6165
46	301	6121
47	304	6034
48	307	5973
49	310	5892
50	311	5804
51	341	6226
52	343	6134
53	345	6044
54	350	6014
55	352	5938
56	354	5865
57	357	5810
58	359	5732
59	363	5687
60	364	5616
61	366	5548
62	368	5482
63	370	5418
64	372	5357
65	374	5300
66	388	5409
67	390	5350
68	393	5308
69	395	5254
70	398	5220
71	401	5173
72	403	5118
73	417	5223
74	419	5168
75	424	5164
76	433	5197
77	435	5147
78	446	5199
79	447	5150
80	484	5496
81	491	5506
82	493	5447
83	496	5412
84	498	5368
85	502	5335
86	507	5328
87	514	5336
88	518	5304
89	519	5256
90	527	5265
91	530	5234
92	532	5193
93	595	5743
94	598	5702
95	601	5667
96	608	5665
97	610	5617
98	612	5576
99	614	5530
100	624	5560
101	626	5515
102	628	5470
103	629	5426
104	634	5411
105	640	5398
106	641	5357
107	758	6263
108	760	6214
109	762	6173
110	765	6128
111	767	6082
112	769	6040
113	771	5995
114	773	5952
115	775	5908
116	777	5869
117	779	5827
118	781	5786
119	784	5751
120	786	5712
121	831	5986
122	833	5943
123	835	5900
124	837	5860
125	839	5821
126	849	5837
127	853	5812
128	855	5773
129	862	5771
130	864	5732
131	867	5704
132	869	5667
133	907	5867
134	909	5830
135	913	5800
136	914	5761
137	918	5736
138	923	5718
139	925	5684
140	927	5648
141	928	5609
142	959	5748
143	961	5712
144	962	5677
145	964	5644
146	970	5633
147	974	5611
148	976	5578
149	997	5653
150	1001	5632
151	1004	5603
152	1006	5571
153	1009	5546
154	1012	5519
155	1017	5505
156	1021	5482
157	1024	5458
158	1032	5460
159	1034	5430
160	1035	5396
161	1055	5461
162	1094	5619
163	1099	5605
164	1101	5574
165	1103	5542
166	1107	5522
167	1112	5510
168	1115	5485
169	1118	5461
170	1128	5473
171	1131	5444
172	1134	5422
173	1140	5414
174	1146	5406
175	1164	5451
176	1166	5422
177	1176	5432
178	1179	5410
179	1181	5383
180	1192	5397
181	1194	5370
182	1196	5342
183	1206	5349
184	1208	5324
185	1211	5300
186	1213	5275
187	1230	5316
188	1233	5294
189	1235	5267
190	1237	5242
191	1247	5250
192	1250	5226
193	1251	5201
194	1253	5175
195	1258	5162
196	1260	5138
197	1263	5117
198	1269	5110
199	1273	5092
200	1276	5073
201	1293	5109
202	1306	5128
203	1308	5104
204	1317	5110
205	1321	5091
206	1323	5068
207	1324	5045
208	1333	5046
209	1338	5033
210	1370	5126
211	1382	5140
212	1385	5118
213	1388	5100
214	1396	5098
215	1398	5076
216	1400	5054
217	1402	5032
218	1411	5035
219	1413	5012
220	1416	4992
221	1419	4973
222	1425	4968
223	1427	4946
224	1429	4925
225	1433	4908
226	1434	4886
227	1442	4884
228	1445	4865
229	1448	4848
230	1450	4829
231	1457	4825
232	1460	4807
233	1462	4788
234	1465	4770
235	1471	4763
236	1474	4745
237	1475	4725
238	1477	4704
239	1479	4686
240	1482	4667
241	1484	4649
242	1486	4631
243	1489	4615
244	1492	4598
245	1497	4589
246	1499	4572
247	1501	4554
248	1505	4542
249	1508	4524
250	1513	4516
251	1515	4497
252	1516	4479
253	1518	4460
254	1521	4444
255	1534	4460
256	1538	4448
257	1543	4438
258	1546	4423
259	1549	4409
260	1551	4393
261	1558	4389
262	1560	4373
263	1566	4366
264	1568	4349
265	1578	4355
266	1582	4343
267	1584	4328
268	1589	4318
269	1600	4326
270	1604	4315
271	1606	4300
272	1608	4284
273	1614	4278
274	1617	4263
275	1620	4250
276	1622	4234
277	1624	4219
278	1630	4213
279	1632	4197
280	1634	4181
281	1635	4165
282	1637	4149
283	1643	4143
284	1645	4128
285	1647	4112
286	1649	4097
287	1650	4081
288	1652	4065
289	1654	4050
290	1660	4044
291	1663	4032
292	1665	4019
293	1668	4006
294	1679	4014
295	1682	4001
296	1684	3987
297	1692	3986
298	1694	3971
299	1695	3957
300	1731	4021
301	1741	4024
302	1743	4011
303	1746	3998
304	1748	3983
305	1754	3979
306	1757	3966
307	1758	3951
308	1760	3935
309	1761	3921
310	1766	3913
311	1769	3901
312	1770	3886
313	1772	3871
314	1775	3860
315	1777	3847
316	1784	3844
317	1786	3831
318	1788	3818
319	1790	3803
320	1791	3789
321	1797	3785
322	1800	3773
323	1801	3759
324	1803	3745
325	1805	3733
326	1807	3719
327	1812	3713
328	1814	3699
329	1815	3686
330	1817	3672
331	1818	3659
332	1820	3645
333	1821	3632
334	1826	3624
335	1827	3612
336	1829	3599
337	1831	3586
338	1832	3572
339	1834	3561
340	1836	3549
341	1842	3544
342	1844	3533
343	1846	3521
344	1851	3515
345	1864	3525
346	1866	3513
347	1874	3511
348	1882	3511
349	1893	3516
350	1898	3509
351	1900	3497
352	1905	3492
353	1907	3480
354	1908	3468
355	1914	3462
356	1932	3480
357	1934	3468
358	1975	3526
359	1982	3523
360	1985	3515
361	1990	3507
362	2004	3516
363	2006	3505
364	2021	3516
365	2027	3512
366	2031	3503
367	2070	3555
368	2078	3553
369	2080	3542
370	2082	3530
371	2084	3519
372	2086	3507
373	2093	3504
374	2095	3492
375	2097	3481
376	2100	3471
377	2103	3462
378	2111	3459
379	2113	3449
380	2116	3439
381	2123	3434
382	2125	3423
383	2127	3412
384	2129	3401
385	2131	3389
386	2134	3380
387	2136	3369
388	2139	3360
389	2141	3349
390	2143	3337
391	2145	3326
392	2153	3326
393	2155	3315
394	2156	3303
395	2158	3292
396	2164	3287
397	2166	3276
398	2169	3267
399	2170	3255
400	2171	3244
401	2173	3233
402	2175	3222
403	2181	3218
404	2183	3207
